ダウンロードした時刻：2024/02/24 16:14:30

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2024/1/23,9.0,8,1,13.9,8,1,5.5,8,1,7.9,0,8,1
2024/1/24,4.5,8,1,8.4,8,1,1.1,8,1,5.8,0,8,1
2024/1/25,4.2,8,1,9.6,8,1,-1.1,8,1,9.3,0,8,1
2024/1/26,6.2,8,1,12.0,8,1,1.8,8,1,9.4,0,8,1
2024/1/27,7.2,8,1,12.2,8,1,2.9,8,1,9.2,0,8,1
2024/1/28,6.0,8,1,9.6,8,1,2.8,8,1,1.7,0,8,1
2024/1/29,6.8,8,1,11.9,8,1,2.4,8,1,9.3,0,8,1
2024/1/30,7.7,8,1,13.3,8,1,4.0,8,1,9.0,0,8,1
2024/1/31,9.3,8,1,14.1,8,1,2.7,8,1,9.3,0,8,1
2024/2/1,9.8,8,1,16.3,8,1,5.0,8,1,5.0,0,8,1
2024/2/2,5.0,8,1,7.6,8,1,3.3,8,1,0.4,0,8,1
2024/2/3,6.9,8,1,11.7,8,1,3.4,8,1,8.7,0,8,1
2024/2/4,4.9,8,1,6.9,8,1,2.6,8,1,0.0,0,8,1
2024/2/5,3.0,8,1,6.2,8,1,0.3,8,1,0.0,0,8,1
2024/2/6,3.4,8,1,5.4,8,1,0.8,8,1,0.0,0,8,1
2024/2/7,4.7,8,1,9.6,8,1,-0.1,8,1,9.2,0,8,1
2024/2/8,5.7,8,1,11.3,8,1,1.2,8,1,6.9,0,8,1
2024/2/9,6.8,8,1,11.3,8,1,2.5,8,1,6.9,0,8,1
2024/2/10,7.1,8,1,12.4,8,1,1.8,8,1,9.5,0,8,1
2024/2/11,8.1,8,1,12.8,8,1,4.3,8,1,6.4,0,8,1
2024/2/12,7.3,8,1,12.7,8,1,3.6,8,1,9.0,0,8,1
2024/2/13,9.6,8,1,17.3,8,1,1.6,8,1,9.7,0,8,1
2024/2/14,10.9,8,1,18.5,8,1,4.2,8,1,8.1,0,8,1
2024/2/15,14.4,8,1,21.1,8,1,6.1,8,1,7.7,0,8,1
2024/2/16,10.6,8,1,17.0,8,1,6.2,8,1,8.8,0,8,1
2024/2/17,9.0,8,1,13.6,8,1,4.6,8,1,2.1,0,8,1
2024/2/18,13.4,8,1,18.8,8,1,9.2,8,1,6.9,0,8,1
2024/2/19,15.0,8,1,17.2,8,1,12.8,8,1,0.1,0,8,1
2024/2/20,18.1,8,1,23.7,8,1,12.8,8,1,5.2,0,8,1
2024/2/21,8.7,8,1,13.2,8,1,7.3,8,1,0.0,0,8,1
2024/2/22,5.5,8,1,8.0,8,1,3.6,8,1,0.0,0,8,1
2024/2/23,2.8,8,1,4.0,8,1,1.7,8,1,0.0,0,8,1
