ダウンロードした時刻：2024/02/24 16:13:52

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2020/2/1,7.9,8,1,13.4,8,1,3.0,8,1,9.2,0,8,1
2020/2/2,8.7,8,1,13.8,8,1,5.0,8,1,9.2,0,8,1
2020/2/3,9.3,8,1,15.2,8,1,5.3,8,1,4.6,0,8,1
2020/2/4,7.9,8,1,11.4,8,1,4.8,8,1,1.9,0,8,1
2020/2/5,7.6,8,1,15.2,8,1,2.4,8,1,9.1,0,8,1
2020/2/6,2.9,8,1,6.9,8,1,-0.4,8,1,9.4,0,8,1
2020/2/7,2.4,8,1,6.9,8,1,-2.1,8,1,8.4,0,8,1
2020/2/8,6.2,8,1,12.7,8,1,0.7,8,1,9.2,0,8,1
2020/2/9,3.9,8,1,8.3,8,1,1.2,8,1,9.7,0,8,1
2020/2/10,4.6,8,1,10.1,8,1,-0.2,8,1,7.3,0,8,1
2020/2/11,6.3,8,1,11.7,8,1,1.1,8,1,9.7,0,8,1
2020/2/12,8.7,8,1,16.0,8,1,1.9,8,1,8.8,0,8,1
2020/2/13,11.7,8,1,18.2,8,1,7.8,8,1,5.7,0,8,1
2020/2/14,12.0,8,1,16.0,8,1,8.5,8,1,3.1,0,8,1
2020/2/15,12.4,8,1,16.2,8,1,7.6,8,1,2.4,0,8,1
2020/2/16,9.3,8,1,11.8,8,1,7.8,8,1,0.0,0,8,1
2020/2/17,10.3,8,1,16.8,8,1,5.8,8,1,3.5,0,8,1
2020/2/18,7.6,8,1,12.5,8,1,2.8,8,1,9.2,0,8,1
2020/2/19,8.1,8,1,13.3,8,1,3.6,8,1,9.5,0,8,1
2020/2/20,9.0,8,1,13.1,8,1,4.7,8,1,4.6,0,8,1
2020/2/21,10.0,8,1,14.2,8,1,5.4,8,1,9.1,0,8,1
2020/2/22,12.5,8,1,18.2,8,1,6.4,8,1,4.1,0,8,1
2020/2/23,10.4,8,1,16.0,8,1,5.4,8,1,9.7,0,8,1
2020/2/24,9.8,8,1,15.4,8,1,4.6,8,1,9.5,0,8,1
2020/2/25,10.5,8,1,14.4,8,1,6.2,8,1,3.6,0,8,1
2020/2/26,8.1,8,1,9.4,8,1,7.0,8,1,0.0,0,8,1
2020/2/27,7.0,8,1,11.9,8,1,3.6,8,1,10.6,0,8,1
2020/2/28,7.0,8,1,12.4,8,1,1.9,8,1,9.0,0,8,1
2020/2/29,9.4,8,1,14.4,8,1,5.4,8,1,6.0,0,8,1
2020/3/1,12.0,8,1,17.9,8,1,6.6,8,1,9.5,0,8,1
2020/3/2,7.3,8,1,11.2,8,1,5.8,8,1,0.0,0,8,1
2020/3/3,11.3,8,1,17.8,8,1,5.3,8,1,10.1,0,8,1
2020/3/4,8.9,8,1,10.9,8,1,7.9,8,1,0.0,0,8,1
2020/3/5,9.2,8,1,13.7,8,1,6.1,8,1,5.9,0,8,1
2020/3/6,9.4,8,1,15.1,8,1,5.4,8,1,10.7,0,8,1
2020/3/7,7.3,8,1,10.4,8,1,5.2,8,1,0.0,0,8,1
2020/3/8,7.2,8,1,8.9,8,1,5.6,8,1,0.0,0,8,1
2020/3/9,13.1,8,1,19.6,8,1,7.6,8,1,3.9,0,8,1
2020/3/10,14.7,8,1,18.2,8,1,12.6,8,1,0.0,0,8,1
2020/3/11,15.3,8,1,21.4,8,1,9.8,8,1,7.9,0,8,1
2020/3/12,11.4,8,1,16.7,8,1,7.0,8,1,10.0,0,8,1
2020/3/13,12.5,8,1,18.7,8,1,6.8,8,1,7.0,0,8,1
2020/3/14,5.5,8,1,12.3,8,1,1.3,8,1,0.0,0,8,1
2020/3/15,7.1,8,1,12.0,8,1,1.8,8,1,8.4,0,8,1
2020/3/16,7.1,8,1,14.4,8,1,3.6,8,1,9.2,0,8,1
2020/3/17,7.7,8,1,12.7,8,1,2.3,8,1,8.4,0,8,1
2020/3/18,11.9,8,1,18.4,8,1,4.8,8,1,10.7,0,8,1
2020/3/19,14.6,8,1,22.0,8,1,6.5,8,1,11.0,0,8,1
2020/3/20,14.5,8,1,19.4,8,1,9.5,8,1,8.9,0,8,1
2020/3/21,13.8,8,1,21.0,8,1,7.6,8,1,11.0,0,8,1
2020/3/22,16.8,8,1,23.7,8,1,10.5,8,1,9.8,0,8,1
